Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
6580674,Itsy Bitsy Spider,Kate Toms,"Toms, Kate",,1846109744,9781846109744,4,4.22,Make Believe Ideas,Board Book,26,2009,2009,,8/30/18,kids,kids (#3),read,"A really cute booked based on the ""Itsy Bitsy Spider"" song. It teaches children that perseverance and cleverness can help you achieve your goals.",,,1,,,0,,,,,
372638,"Lyle, Lyle, Crocodile",Bernard Waber,"Waber, Bernard",,0395137209,9780395137208,5,4.14,HMH Books for Young Readers,Paperback,48,1987,1965,8/28/18,8/28/18,kids,kids (#1),read,,,,1,,,0,,,,,
26873303,World of Reading Star Wars: Use the Force: (Level 2) (World of Reading (eBook)),Michael Siglain,"Siglain, Michael",Pilot Studio,,,4,3.79,Disney Lucasfilm Press,Kindle Edition,32,2015,2015,8/25/18,8/28/18,kids,kids (#2),read,A simple story about Lukeâ€™s time training with Yoda. My son really enjoys it and it teaches children about perseverance.,,,1,,,0,,,,,
34703445,"Edgedancer (The Stormlight Archive, #2.5)",Brandon Sanderson,"Sanderson, Brandon",,1250166543,9781250166548,0,4.34,Tor Books,Hardcover,272,2017,2016,,8/29/18,currently-reading,currently-reading (#2),currently-reading,,,,1,,,0,,,,,
45030,"Bedlam's Bard (Bedlam Bard, #1-2)",Mercedes Lackey,"Lackey, Mercedes",Ellen Guon,141653282X,9781416532828,0,3.95,Baen Books,Paperback,617,2006,1992,8/27/18,7/25/18,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
4381,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",Alfredo Crespo,0307347974,9780307347978,0,3.98,DeBolsillo,Mass Market Paperback,175,2004,1953,,8/27/18,,,read,,,,1,,,0,,,,,
40961427,1984,George Orwell,"Orwell, George",,,,3,4.16,Houghton Mifflin Harcourt,Kindle Edition,237,2013,1949,,8/27/18,,,read,,,,1,,,0,,,,,
5060378,"The Girl Who Played with Fire (Millennium, #2)",Stieg Larsson,"Larsson, Stieg",Reg Keeland,0307269981,9780307269980,5,4.23,Alfred A. Knopf,Hardcover,503,2009,2006,,8/27/18,,,read,,,,1,,,0,,,,,
6892870,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",Stieg Larsson,"Larsson, Stieg",Reg Keeland,030726999X,9780307269997,5,4.21,Knopf,Hardcover,563,2010,2007,,8/27/18,,,read,,,,1,,,0,,,,,
43889,"Wizard's First Rule (Sword of Truth, #1)",Terry Goodkind,"Goodkind, Terry",,0765346524,9780765346520,0,4.13,Tor Books,Paperback,836,2003,1994,,8/21/18,to-read,to-read (#5),to-read,,,,0,,,0,,,,,
60926,"Lilith's Brood (Xenogenesis, #1-3)",Octavia E. Butler,"Butler, Octavia E.",,0446676101,9780446676106,0,4.32,Grand Central Publishing,Paperback,746,2000,1987,,7/25/18,to-read,to-read (#4),to-read,,,,0,,,0,,,,,
19063,The Book Thief,Markus Zusak,"Zusak, Markus",,0375831002,9780375831003,4,4.36,Alfred A. Knopf,Hardcover,552,2006,2005,,11/30/13,,,read,,,,1,,,0,,,,,
43339,Where Are the Children?,Mary Higgins Clark,"Clark, Mary Higgins",,1416507779,9781416507772,4,4.01,Pocket Books,Paperback,304,2005,1975,,11/30/13,,,read,,,,1,,,0,,,,,
2429135,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,"Larsson, Stieg",Reg Keeland,0307269752,9780307269751,5,4.13,Knopf,Hardcover,465,2008,2005,,11/30/13,,,read,,,,1,,,0,,,,,
481446,Nefertiti,Michelle Moran,"Moran, Michelle",,0307381463,9780307381460,4,4.07,Crown Publishing Group ,Hardcover,463,2007,2007,,11/30/13,,,read,,,,1,,,0,,,,,
12296,The Scarlet Letter,Nathaniel Hawthorne,"Hawthorne, Nathaniel","Thomas E. Connolly, Nina Baym",0142437263,9780142437261,3,3.38,Penguin Books,Paperback,238,2003,1850,,11/30/13,,,read,,,,1,,,0,,,,,
16181,"The Constant Princess (The Plantagenet and Tudor Novels, #6)",Philippa Gregory,"Gregory, Philippa",,0743272498,9780743272490,4,3.89,Touchstone,Paperback,390,2006,2005,,11/30/13,,,read,,,,1,,,0,,,,,
5043,"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,"Follett, Ken",RosalÃ_a VÃ¡zquez,0451207149,9780451207142,0,4.3,NAL Trade,Paperback,973,2002,1989,,11/30/13,to-read,to-read (#3),to-read,,,,0,,,0,,,,,
10917,My Sister's Keeper,Jodi Picoult,"Picoult, Jodi",,0743454537,9780743454537,5,4.06,Washington Square Press,Paperback,423,2005,2004,,11/30/13,,,read,,,,1,,,0,,,,,
37470,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,"Gregory, Philippa",,0743227441,9780743227445,5,4.05,Touchstone,Paperback,661,2003,2001,,11/30/13,,,read,,,,1,,,0,,,,,
4667024,The Help,Kathryn Stockett,"Stockett, Kathryn",,0399155341,9780399155345,4,4.46,Amy Einhorn Books,Hardcover,465,2009,2009,,11/30/13,,,read,,,,1,,,0,,,,,
43641,Water for Elephants,Sara Gruen,"Gruen, Sara",,1565125606,9781565125605,4,4.08,Algonquin Books,Paperback,335,2007,2006,,11/30/13,,,read,,,,1,,,0,,,,,
41424,Beauty: A Retelling of the Story of Beauty and the Beast,Robin McKinley,"McKinley, Robin",,0064404773,9780064404778,4,4.05,HarperCollins,Paperback,256,1993,1978,,11/30/13,,,read,,,,1,,,0,,,,,
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,0439023483,9780439023481,5,4.33,Scholastic Press,Hardcover,374,2008,2008,,11/30/13,,,read,,,,1,,,0,,,,,
16793,Stardust,Neil Gaiman,"Gaiman, Neil",,0061142026,9780061142024,0,4.07,Harper Perennial,Paperback,248,2006,1998,,11/30/13,to-read,to-read (#2),to-read,,,,0,,,0,,,,,
38447,The Handmaid's Tale,Margaret Atwood,"Atwood, Margaret",,038549081X,9780385490818,3,4.09,Anchor Books,Paperback,311,1998,1985,,11/30/13,,,read,,,,1,,,0,,,,,
99300,The Yellow Wallpaper and Other Stories,Charlotte Perkins Gilman,"Gilman, Charlotte Perkins",,0486298574,9780486298573,3,4.03,Dover Publications,Paperback,70,1997,1892,,11/30/13,,,read,,,,1,,,0,,,,,
58345,The Awakening,Kate Chopin,"Chopin, Kate",,0543898083,9780543898081,5,3.64,Elibron Classics,Paperback,195,2006,1899,,11/30/13,,,read,,,,1,,,0,,,,,
12985,The Tempest,William Shakespeare,"Shakespeare, William","Israel Gollancz, Barbara A. Mowat, Jeremy Herrin, David Lindley, Paul Werstine, Ian Russell",,,5,3.81,Washington Square Press,Mass Market Paperback,218,2004,1623,,11/30/13,,,read,,,,1,,,0,,,,,
47021,The Taming of the Shrew,William Shakespeare,"Shakespeare, William","Chris Abraham, Barry Avrich",074347757X,9780743477574,4,3.81,Simon  Schuster,Paperback,291,2004,1593,,11/30/13,,,read,,,,1,,,0,,,,,
13006,Julius Caesar,William Shakespeare,"Shakespeare, William","Roma Gill, ÙÅØ±Ù†Ú¯ÛŒØ_ Ø´Ø§Ø¯Ù…Ø§Ù†",0198320272,9780198320272,3,3.66,"Oxford University Press, USA",Paperback,128,2002,1599,,11/30/13,,,read,,,,1,,,0,,,,,
1371,The Iliad,Homer,"Homer, Homer","FrÃ©dÃ©ric Mugler, Robert Fagles, Bernard Knox",0140275363,9780140275360,3,3.84,Penguin Classics,Paperback,683,1999,-750,,11/30/13,,,read,,,,1,,,0,,,,,
1622,A Midsummer Night's Dream,William Shakespeare,"Shakespeare, William","Barbara A. Mowat, Paul Werstine, Catherine Belsey",0743477545,9780743477543,5,3.94,Simon & Schuster Paperbacks,Paperback,298,2016,1595,,11/30/13,,,read,,,,1,,,0,,,,,
7144,Crime and Punishment,Fyodor Dostoyevsky,"Dostoyevsky, Fyodor",David McDuff,0143058142,9780143058144,2,4.2,Penguin,Paperback,671,2002,1866,,11/30/13,,,read,,,,1,,,0,,,,,
2623,Great Expectations,Charles Dickens,"Dickens, Charles",Marisa Sestino,0192833596,9780192833594,4,3.76,Oxford University Press,Paperback,505,1998,1860,,11/30/13,,,read,,,,1,,,0,,,,,
5129,Brave New World,Aldous Huxley,"Huxley, Aldous",,0060929871,9780060929879,3,3.98,HarperPerennial / Perennial Classics,Paperback,288,1998,1932,,11/30/13,,,read,,,,1,,,0,,,,,
890,Of Mice and Men,John Steinbeck,"Steinbeck, John",,0142000671,9780142000670,5,3.85,Penguin Books,Paperback,112,2002,1937,,11/30/13,,,read,,,,1,,,0,,,,,
7624,Lord of the Flies,William Golding,"Golding, William",,0140283331,9780140283334,3,3.66,Penguin Books ,Paperback,182,1999,1954,,11/30/13,,,read,,,,1,,,0,,,,,
18135,Romeo and Juliet,William Shakespeare,"Shakespeare, William","Barbara A. Mowat, Paul Werstine",0743477111,9780743477116,4,3.74,Washington Square Press,Mass Market Paperback,283,2004,1597,,11/30/13,,,read,,,,1,,,0,,,,,
34268,Peter Pan,J.M. Barrie,"Barrie, J.M.",Michael Hague,0805072454,9780805072457,0,4.09,Henry Holt and Co.,Hardcover,176,2003,1904,,11/30/13,to-read,to-read (#1),to-read,,,,0,,,0,,,,,
10799,A Farewell to Arms,Ernest Hemingway,"Hemingway, Ernest",,0099910101,9780099910107,3,3.79,Arrow Books,Paperback,293,2004,1929,,11/30/13,,,read,,,,1,,,0,,,,,
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,0743273567,9780743273565,4,3.9,Scribner,Paperback,180,2004,1925,,11/30/13,,,read,,,,1,,,0,,,,,
2657,"To Kill a Mockingbird (To Kill a Mockingbird, #1)",Harper Lee,"Lee, Harper",,0061120081,9780061120084,5,4.27,Harper Perennial Modern Classics,Paperback,324,2006,1960,,11/30/13,,,read,,,,1,,,0,,,,,
